Time Lon Lat Dep(km) Mag
2015-03-31T12:18:24.200000Z 152.49 -4.8946 39.0 6.0
2015-03-30T08:48:25.340000Z -173.0293 -15.4994 11.0 6.5
2015-03-30T08:18:01.340000Z -172.9409 -15.392 14.54 6.4
2015-03-30T07:56:53.230000Z -173.049 -15.4296 10.0 6.0
2015-03-29T23:48:31.010000Z 152.5623 -4.7294 41.0 7.5
2015-03-18T18:27:29.500000Z -73.5219 -36.1167 13.0 6.2
2015-03-17T22:12:28.940000Z 126.5217 1.6686 44.0 6.2
2015-03-15T23:17:16.910000Z 122.3067 -0.5409 31.0 6.1
2015-03-10T20:55:44.370000Z -72.9875 6.7757 155.0 6.2
2015-03-06T08:22:18.960000Z 80.6046 -41.3157 10.0 6.0
2015-03-03T10:37:30.050000Z 98.7161 -0.7789 28.0 6.1
2015-02-27T13:45:05.370000Z 122.5348 -7.2968 552.06 7.0
2015-02-22T14:23:12.720000Z -106.848 18.6766 5.0 6.2
2015-02-21T10:13:53.290000Z 143.4861 39.8185 7.0 6.0
2015-02-20T04:25:23.380000Z 143.5871 39.8244 10.0 6.2
2015-02-19T13:18:32.810000Z 168.1483 -16.4311 10.0 6.4
2015-02-18T09:32:26.770000Z 164.1216 -10.7598 10.0 6.1
2015-02-16T23:06:28.270000Z 142.8808 39.8558 23.0 6.7
2015-02-16T22:00:53.590000Z -28.2591 -55.52 13.0 6.2
2015-02-13T20:06:32.330000Z 121.427 22.6374 30.0 6.2
2015-02-13T18:59:12.230000Z -31.9016 52.6487 16.68 7.1
2015-02-11T18:57:22.460000Z -66.688 -23.1125 223.0 6.7
2015-02-02T10:49:48.530000Z -67.1231 -32.7183 172.0 6.3
2015-01-30T17:57:56.440000Z 170.158 -21.2452 7.08 6.0
2015-01-28T02:43:19.350000Z -178.3032 -20.9665 484.12 6.2
2015-01-23T03:47:27.050000Z 168.52 -17.0309 219.96 6.8
2015-01-07T05:07:07.510000Z -82.6576 5.9045 8.0 6.5
2014-12-30T21:17:23.920000Z -178.5639 -20.3263 599.28 6.0
2014-12-29T09:29:37.390000Z 121.5213 8.6341 8.0 6.1
2014-12-21T11:34:13.570000Z 126.6483 2.0892 41.0 6.3
